71896,Battle for the Food Dollar: A Report from the Trenches,1,admin,697939200,13,2,1992,1345020940,1345029491,No,Yes,Stanford News Service,jlattin,,,,,,,,,http://news.stanford.edu/pr/92/920213Arc2416.html,,
73061,"From Paper to Reader, Something Gets Inferred in the Translation",1,admin,700704000,16,3,1992,1345021154,1345029356,No,Yes,Washington Post,deborahg,,,,,,,,,http://www.highbeam.com/doc/1P2-995771.html,,
72771,Executive Pay: A Better Way?,1,admin,766195200,13,4,1994,1345021098,1345029356,No,Yes,Wall Street Journal,coreilly,,,,,,,,,http://tinyurl.com/dx6c7wb,,
75091,Why the Numbers Miss the Point,1,admin,807062400,30,7,1995,1345021499,1345029196,No,Yes,Bloomberg Businessweek,tbres,,,,,,,,,http://www.businessweek.com/stories/1995-07-30/commentary-why-the-numbers-miss-the-point,,
73056,Complex Thinking and Clear-cut Belief,1,admin,839116800,4,8,1996,1345021153,1345029356,No,Yes,Chicago Tribune,deborahg,,,,,,,,,http://articles.chicagotribune.com/1996-08-04/news/9608040391_1_complexity-liberal-psychologists,,
71586,Be Careful What You Ask for,1,admin,848102400,16,11,1996,1345020884,1345029595,No,Yes,US News & World Report,hnair,,,,,,,,,http://faculty-gsb.stanford.edu/nair/PDF-s/USNews_Writeup.pdf,,
71546,Silicon Valley: The Valley of Money's Delight,1,admin,859420800,27,3,1997,1345020874,1345029595,No,Yes,The Economist,mspence,,,,,,,,,http://www.economist.com/node/366753,,
73796,The Heart of Silicon Valley: Why Stanford,1,admin,868233600,7,7,1997,1345021303,1345029274,No,Yes,Fortune,"grous, chollowa",,,,,,,,,http://money.cnn.com/magazines/fortune/fortune_archive/1997/07/07/228653/,,
73801,What It Takes to Run Your Own Show,1,admin,873849600,10,9,1997,1345021304,1345029274,No,Yes,The Christian Science Monitor,grous,,,,,,,,,http://www.csmonitor.com/1997/0910/091097.econ.econ.1.html,,
72046,Evidence-Based Organ Allocation,1,admin,878428800,2,11,1997,1345020963,1345029491,No,Yes,American Journal of Medicine,stefzen,,,,,,,,,http://www.amjmed.com/article/S0002-9343(99)00166-7/fulltext,,
74046,Time Magazine's Man of the Year: Andrew S. Grove,1,admin,883353600,29,12,1997,1345021356,1345029274,No,Yes,Time Magazine,agrove,,,,,,,,,"http://www.time.com/time/magazine/article/0,9171,987587,00.html",,
73326,Panel Seeks H.M.O. Overseer for the Bellwether California,1,admin,884044800,6,1,1998,1345021211,1345029313,No,Yes,New York Times,enthoven,,,,,,,,,http://www.nytimes.com/1998/01/06/us/panel-seeks-hmo-overseer-for-california-a-bellwether.html,,
73356,Enthoven Commission Offers Prescription for Managed Health Care Improvement Task Force,1,admin,884736000,14,1,1998,1345021216,1345029313,No,Yes,Stanford Report,enthoven,,,,,,,,,http://news-service.stanford.edu/news/1998/january14/enthoven114.html,,
73146,Health Economicst Wins Award for Study of Defensive Medicine,1,admin,885340800,21,1,1998,1345021173,1345029313,No,Yes,Stanford Report,fkessler,,,,,,,,,http://news-service.stanford.edu/news/1998/january21/arrowaward.html,,
73991,"Not Alpha or Omega: Risk, Small Caps and Beta",1,admin,889315200,8,3,1998,1345021342,1345029274,No,Yes,New York Times,wfsharpe,,,,,,,,,http://www.nytimes.com/1998/03/08/business/investing-it-not-alpha-or-omega-risk-small-caps-and-beta.html?action=click&module=Search&region=searchResults%230&version=&url=http%3A%2F%2Fquery.nytimes.com%2Fsearch%2Fsitesearch%2F%3Faction%3Dclick%26region%3DMasthead%26pgtype%3DHomepage%26module%3DSearchSubmit%26contentCollection%3DHomepage%26t%3Dqry285%23%2F%22Not+Alpha+or+Omega%3A+Risk%2C+Small+Caps+and+Beta%22,,
73986,Time for Retirement Software to Get Real,1,admin,890006400,16,3,1998,1345021341,1345029274,No,Yes,Fortune,wfsharpe,,,,,,,,,http://money.cnn.com/magazines/fortune/fortune_archive/1998/03/16/239299/index.htm,,
73941,Economists Seek to Improve Advice on How to Invest Pension Money,1,admin,892598400,15,4,1998,1345021333,1345029274,No,Yes,Stanford Report,wfsharpe,,,,,,,,,http://news-service.stanford.edu/news/1998/april15/pensions415.html,,
72776,The Numbers Game: Reports of Large Job Losses May Not Have Translated into Smaller Workforces,1,admin,898214400,19,6,1998,1345021099,1345029356,No,Yes,Financial Times,coreilly,,,,,,,,,http://tinyurl.com/chzf7nl,,
73996,The Godfather of Index Funds,1,admin,900892800,20,7,1998,1345021343,1345029274,No,Yes,Bloomberg Businessweek,wfsharpe,,,,,,,,,http://www.businessweek.com/1998/29/b3587006.htm,,
73176,Harrison Receives 1998 Expository Writing Award,1,admin,912470400,1,12,1998,1345021178,1345029313,No,Yes,ORMS Today,mikehar,,,,,,,,,http://www.orms-today.org/orms-12-98/writingaward.html,,
75096,"If Microsoft Loses Case, Remedies Are Thorny",1,admin,913593600,14,12,1998,1345021499,1376348618,No,Yes,New York Times,tbres,,,,,,,,,http://www.nytimes.com/1998/12/14/business/if-microsoft-loses-case-remedies-are-thorny.html,,
73366,Marketing: Negotiating a Corporate Fault Zone,1,admin,918604800,10,2,1999,1345021219,1345029313,No,Yes,Stanford Report,dbm,,,,,,,,,http://news-service.stanford.edu/news/1999/february10/marketing210.html,,
